state,total_cases,total_deaths,peak_daily_cases
California,12169158,104277,227972.0
Texas,8447168,94518,164902.0
Florida,7542869,87141,193786.0
New York,6805271,80138,90132.0
Illinois,4107931,41618,93423.0
Pennsylvania,3539135,50701,33650.0
North Carolina,3481732,29746,121315.0
Ohio,3415254,42061,50299.0
Michigan,3068195,42311,98299.0
New Jersey,3057442,36097,51092.0
Georgia,2984923,41055,62186.0
Tennessee,2459152,29035,46763.0
Arizona,2451062,33190,27681.0
Virginia,2298300,23782,57703.0
Massachusetts,2230150,24441,64715.0
Indiana,2054533,26179,37388.0
Wisconsin,2014524,16485,83187.0
Washington,1940704,15905,63640.0
South Carolina,1840458,20192,72445.0
Missouri,1794207,23998,46263.0
Minnesota,1784263,14964,44616.0
Colorado,1771010,14245,42452.0
Kentucky,1723443,18348,33350.0
Alabama,1648385,21631,53159.0
Louisiana,1580709,18835,60797.0
Maryland,1369930,16672,36648.0
Oklahoma,1295832,16549,42157.0
Puerto Rico,1139243,5848,26098.0
Utah,1093049,5316,39883.0
Arkansas,1008303,13068,14494.0
Mississippi,993035,13431,22456.0
Connecticut,978456,12270,31405.0
Oregon,967156,9451,28024.0
Kansas,940815,10232,37991.0
Iowa,907421,10770,14109.0
Nevada,892814,12093,27485.0
New Mexico,673541,9110,21253.0
West Virginia,645710,8132,9164.0
Nebraska,570835,5068,21959.0
Idaho,522919,5456,4220.0
Rhode Island,461788,3915,16228.0
New Hampshire,379689,3018,14683.0
Hawaii,372408,1851,12713.0
Delaware,332861,3352,4493.0
Montana,330875,3701,5085.0
Maine,319997,2981,10968.0
Alaska,308893,1438,10181.0
North Dakota,288106,2529,3419.0
South Dakota,280525,3222,6483.0
Wyoming,185800,2014,4085.0
District of Columbia,178226,1487,9201.0
Vermont,153198,939,5314.0
Guam,62077,421,2325.0
Virgin Islands,24838,130,1235.0
Northern Mariana Islands,13395,41,522.0
American Samoa,8321,34,1201.0
